,course_title,course_organization,course_URL,course_rating,course_difficulty,course_duration,course_review_count,course_skills
197,Contabilidad para no contadores,Universidad Nacional Autónoma de México,/learn/contabilidad,4.8,Beginner,1 - 3 Months,8600,"Accounting, Finance, Financial Accounting, General Accounting, Accounts Payable and Receivable, Business Analysis, Financial Analysis, Operational Analysis, Planning, Accounting Software"
198,Overcoming Dyslexia,Yale University,/learn/dyslexia,4.8,Beginner,1 - 3 Months,435,
199,Introduction to Mathematical Thinking,Stanford University,/learn/mathematical-thinking,4.8,Intermediate,1 - 3 Months,2600,"Critical Thinking, Mathematical Theory & Analysis, Mathematics, Problem Solving, Computational Logic, Algebra, Applied Mathematics, Data Analysis, Computational Thinking, Probability & Statistics"
200,The Science of Well-Being for Teens,Yale University,/learn/the-science-of-well-being-for-teens,4.9,Beginner,1 - 3 Months,357,
201,Equine Welfare and Management,"University of California, Davis",/learn/equine,4.9,Beginner,1 - 3 Months,341,
202,Design a User Experience for Social Good & Prepare for Jobs,Google,/learn/ux-design-jobs,4.9,Beginner,1 - 3 Months,2800,"User Experience, Social Media, User Research, Web Design"
203,Introduction to Philosophy,The University of Edinburgh,/learn/philosophy,4.7,Mixed,3 - 6 Months,9000,
204,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,/learn/corp-sustainability,4.6,Mixed,1 - 3 Months,746,"Leadership and Management, Organizational Development, Strategy, Strategy and Operations, Business Transformation, Critical Thinking, Business Process Management, Change Management, Employee Relations, Innovation"
205,Sports Marketing,Northwestern University,/learn/sports-marketing,4.7,Intermediate,1 - 3 Months,1200,"Communication, Marketing"
206,Réussir le Changement,ESSEC Business School,/learn/reussir-le-changement,4.5,Mixed,1 - 3 Months,1900,"Change Management, Leadership and Management, Project Management, Strategy, Communication, Strategy and Operations, Organizational Development, People Management, Business Transformation, Performance Management"
207,Machine Learning Foundations for Product Managers,Duke University,/learn/machine-learning-foundations-for-product-managers,4.7,Beginner,1 - 3 Months,253,"Machine Learning, Machine Learning Algorithms, Probability & Statistics, Regression, Applied Machine Learning, Data Analysis, Data Mining, Deep Learning, Algorithms, Data Science"
208,Build Basic Generative Adversarial Networks (GANs),DeepLearning.AI,/learn/build-basic-generative-adversarial-networks-gans,4.7,Intermediate,1 - 4 Weeks,1800,"Artificial Neural Networks, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Python Programming, Statistical Programming, Deep Learning"
209,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,/learn/advanced-valuation-and-strategy,4.6,Advanced,1 - 3 Months,1200,"Finance, Mergers & Acquisitions, Business Analysis, Data Analysis, Financial Analysis, Investment Management, Accounting, Sales, Strategy, Strategy and Operations, Game Theory"
210,Python Programming Fundamentals,Duke University,/learn/python-programming-fundamentals,4.3,Beginner,1 - 4 Weeks,6,"Algorithms, Computer Programming, Problem Solving, Python Programming"
211,Vivre avec le TDAH à travers les âges,University of Geneva,/learn/tdah,4.9,Beginner,1 - 3 Months,67,
212,Exploratory Data Analysis for Machine Learning,IBM,/learn/ibm-exploratory-data-analysis-for-machine-learning,4.6,Intermediate,1 - 3 Months,1400,"Data Analysis, Exploratory Data Analysis, Machine Learning, Statistical Machine Learning, Feature Engineering, General Statistics, Probability & Statistics, Statistical Analysis, Algorithms, Data Structures"
213,AI For Everyone （すべての人のためのAIリテラシー講座）,DeepLearning.AI,/learn/ai-for-everyone-ja,4.8,Beginner,1 - 3 Months,244,"Applied Machine Learning, Deep Learning, Machine Learning, Machine Learning Software, Business Analysis, Business Process Management, Data Analysis, Human Learning, Machine Learning Algorithms, Artificial Neural Networks"
214,Natural Language Processing with Probabilistic Models,DeepLearning.AI,/learn/probabilistic-models-in-nlp,4.7,Intermediate,1 - 4 Weeks,1600,"Machine Learning, Natural Language Processing, Python Programming, Statistical Programming, Statistical Machine Learning"
215,Economics of Money and Banking,Columbia University,/learn/money-banking,4.9,Mixed,3 - 6 Months,1500,"Banking, Finance"
216,Managing the Company of the Future,University of London,/learn/company-future-management,4.8,Mixed,1 - 3 Months,3400,"Organizational Development, Leadership and Management, Innovation"
217,Oil & Gas Industry Operations and Markets,Duke University,/learn/oilandgas,4.8,Mixed,1 - 4 Weeks,5700,
218,Introduction to User Experience Design,Georgia Institute of Technology,/learn/user-experience-design,4.5,Beginner,1 - 3 Months,7900,"User Experience, User Experience Design, User Research, Customer Analysis, Design and Product, Interactive Design, Product Design, Research and Design, Human Computer Interaction, Product Development"
219,Data Visualization with Python,IBM,/learn/python-for-data-visualization,4.5,Intermediate,1 - 3 Months,11200,"Data Visualization, Python Programming, Statistical Programming, Statistical Visualization, Plot (Graphics), Computer Programming"
220,Gamification,University of Pennsylvania,/learn/gamification,4.8,Mixed,1 - 3 Months,2400,"Game Theory, Critical Thinking, User Experience, Business Psychology, Strategy, User Experience Design, Human Learning, Marketing Psychology, Problem Solving, Product Design"
221,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,/learn/algorithms-divide-conquer,4.8,Intermediate,1 - 4 Weeks,5100,"Algorithms, Theoretical Computer Science, Computational Thinking, Computer Programming, Critical Thinking, Mathematics, Problem Solving, Computational Logic, Mathematical Theory & Analysis, Programming Principles"
222,Spanish for Successful Communication in Healthcare Settings,Rice University,/learn/spanish-in-healthcare-settings,4.8,Intermediate,1 - 3 Months,272,Communication
223,Marketing Analytics,University of Virginia,/learn/uva-darden-market-analytics,4.7,Beginner,1 - 3 Months,6300,"Business Analysis, Data Analysis, Market Analysis, Marketing, Brand Management, Customer Analysis, Customer Relationship Management, Strategy, Probability & Statistics, Product Strategy, Regression"
224,Mathematics for Machine Learning: Linear Algebra,Imperial College London,/learn/linear-algebra-machine-learning,4.7,Beginner,1 - 3 Months,11800,"Algebra, Linear Algebra, Mathematics, Python Programming, Computer Programming, Machine Learning Algorithms, Problem Solving, Algorithms, Computer Programming Tools, Machine Learning"
225,Python Data Structures,University of Michigan,/learn/python-data,4.9,Beginner,1 - 3 Months,93900,"Algorithms, Computational Logic, Computational Thinking, Computer Programming, Computer Programming Tools, Critical Thinking, Data Analysis, Data Management, Data Structures, Problem Solving, Python Programming, Software Engineering"
226,Microsoft Power Platform Fundamentals,Microsoft,/learn/microsoft-power-platform-fundamentals,4.2,Beginner,1 - 3 Months,95,"Business Analysis, Business Intelligence, Cloud Applications, Interactive Data Visualization, Application Development, Business Development, Data Model, Design and Product, Power BI, Software As A Service, User Experience Design, Data Analysis"
227,Social Media Management,Meta,/learn/social-media-management,4.9,Beginner,1 - 4 Weeks,4500,"Brand Management, Digital Marketing, Marketing, Media Strategy & Planning, Social Media, Strategy and Operations, Advertising, Communication, Creativity, Leadership and Management, Planning"
228,AI for Medical Diagnosis,DeepLearning.AI,/learn/ai-for-medical-diagnosis,4.7,Intermediate,1 - 4 Weeks,1900,"Machine Learning, Artificial Neural Networks, Deep Learning, Python Programming, Statistical Programming"
229,Étudier en France: French Intermediate course B1-B2,École Polytechnique,/learn/etudier-en-france,4.8,Intermediate,1 - 3 Months,4600,"Communication, Culture, Writing"
230,Satisfaction Guaranteed: Develop Customer Loyalty Online,Google,/learn/satisfaction-guaranteed,4.8,Beginner,1 - 4 Weeks,2000,"Digital Marketing, Marketing, Sales, E-Commerce, Social Media"
231,ESG Risks and Opportunities,University of Pennsylvania,/learn/esg-risks-opportunities,4.6,Beginner,1 - 4 Weeks,512,"Critical Thinking, Investment Management, Leadership and Management, Regulations and Compliance, Risk Management, Strategy, Strategy and Operations, Business Analysis, Business Transformation, Decision Making"
232,Programming with JavaScript,Meta,/learn/programming-with-javascript,4.7,Beginner,1 - 3 Months,3000,"Javascript, Front-End Web Development, Computer Programming, Web Development Tools"
233,SAP Professional Fundamentals,SAP,/learn/sap-professional-fundamentals,4.7,Beginner,1 - 3 Months,345,"Leadership and Management, Strategy, Strategy and Operations, Business Process Management, Planning, Project Management, Business Analysis, Business Transformation, Cloud-Based Integration, Supply Chain and Logistics"
234,Aspectos básicos del diseño de la experiencia del usuario,Google,/learn/aspectos-basicos-del-diseno-de-la-experiencia-del-usuario-ux,4.9,Beginner,1 - 4 Weeks,2500,"Research and Design, User Experience, User Experience Design, Leadership and Management, Persona Research, Collaboration, Communication, Graphic Design, User Research, Visual Design"
235,Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",/learn/wine,4.7,Beginner,1 - 3 Months,494,
236,Science of Exercise,University of Colorado Boulder,/learn/science-exercise,4.8,Beginner,1 - 4 Weeks,4400,"Health, Training"
237,Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,/learn/terrorism,4.8,Beginner,1 - 3 Months,3100,
238,Social Psychology,Wesleyan University,/learn/social-psychology,4.7,Beginner,1 - 3 Months,4700,
239,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,/learn/autodesk-autocad-design-drafting,4.7,Advanced,1 - 4 Weeks,2500,"Computer Graphics, Computer Graphic Techniques, Design and Product, Feature Engineering, Research and Design, Software Architecture, Software Engineering, User Experience Design, Visualization (Computer Graphics)"
240,Financial Accounting Fundamentals,University of Virginia,/learn/uva-darden-financial-accounting,4.8,Beginner,1 - 3 Months,2500,"Account Management, Accounting, Accounts Payable and Receivable, Finance, Financial Accounting, Financial Analysis, General Accounting, Generally Accepted Accounting Principles (GAAP), Cost Accounting, Payments"
241,Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,/learn/positive-psychology-visionary-science,4.9,Beginner,1 - 4 Weeks,5700,
242,"AI, Business & the Future of Work",Lund University,/learn/ai-business-future-of-work,4.7,Beginner,1 - 4 Weeks,254,"Leadership and Management, Strategy, Algorithms, Human Computer Interaction, Human Resources, Machine Learning, Machine Learning Algorithms, Business Process Management, Human Learning, Machine Learning Software"
243,Nuts and Bolts of U.S. Immigration Law,University of Pennsylvania,/learn/us-immigration-law,4.9,Intermediate,1 - 4 Weeks,91,
244,Getting Started with AI using IBM Watson,IBM,/learn/ai-with-ibm-watson,4.5,Beginner,1 - 4 Weeks,2800,"Cloud Computing, Human Computer Interaction, Human Learning, IBM Cloud, Machine Learning, Natural Language Processing, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Computer Vision"
245,An Introduction to American Law,University of Pennsylvania,/learn/american-law,4.8,Beginner,1 - 3 Months,4700,
246,Financial Acumen for Non-Financial Managers,University of Pennsylvania,/learn/finance-healthcare-managers,4.5,Beginner,1 - 4 Weeks,884,"Finance, Financial Analysis, Financial Management, Accounting, Accounts Payable and Receivable, Business Analysis, Financial Accounting, General Accounting, Management Accounting, Leadership and Management"
247,Formal Financial Accounting,University of Illinois at Urbana-Champaign,/learn/formal-financial-accounting,4.8,Beginner,1 - 3 Months,357,"Accounting, Accounts Payable and Receivable, Finance, Financial Accounting, General Accounting, Generally Accepted Accounting Principles (GAAP), Payments, Cost Accounting, Financial Analysis"
248,Reporting extra-financier et stratégie RSE,ESSEC Business School,/learn/reporting-extra-financier-strategie-rse,4.7,Beginner,1 - 4 Weeks,368,"Strategy, Audit, Strategy and Operations, Change Management, Communication, Finance, Leadership and Management, Regulations and Compliance"
249,Harnessing the Power of Data with Power BI,Microsoft,/learn/harnessing-the-power-of-data-with-power-bi,4.5,Beginner,1 - 4 Weeks,151,"Data Analysis, Extract, Transform, Load, Power BI"
250,Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,/learn/corporate-commercial-law-part1,4.8,Intermediate,1 - 3 Months,1100,"Contract Management, Critical Thinking, Leadership and Management, Regulations and Compliance, Business Communication, Decision Making, Employee Relations, Negotiation, Payments, Sales"
251,Emotional Intelligence: Cultivating Immensely Human Interactions,University of Michigan,/learn/emotional-intelligence-cultivating-immensely-human-interactions,4.7,Intermediate,1 - 4 Weeks,232,"Communication, Emotional Intelligence, Leadership and Management"
252,Arts and Heritage Management,Università Bocconi,/learn/arts-heritage,4.8,Mixed,1 - 3 Months,1300,"Leadership and Management, Marketing, Strategy, Communication, Customer Relationship Management, Organizational Development, Strategy and Operations, Brand Management, Business Process Management, Culture"
253,Analyze Datasets and Train ML Models using AutoML,DeepLearning.AI,/learn/automl-datasets-ml-models,4.5,Advanced,1 - 4 Weeks,418,"Amazon Web Services, Exploratory Data Analysis"
254,Industrial Biotechnology,University of Manchester   ,/learn/industrial-biotech,4.7,Beginner,1 - 3 Months,3100,
255,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,/learn/python-statistics-financial-analysis,4.4,Intermediate,1 - 4 Weeks,3900,"Basic Descriptive Statistics, Computer Programming, Data Analysis, Finance, Financial Analysis, Probability & Statistics, Python Programming, Statistical Analysis, General Statistics, Statistical Programming"
256,Natural Language Processing in TensorFlow,DeepLearning.AI,/learn/natural-language-processing-tensorflow,4.6,Intermediate,1 - 4 Weeks,6300,"Machine Learning, Natural Language Processing, Deep Learning, Machine Learning Algorithms, Tensorflow, Python Programming, Computer Programming, Artificial Neural Networks, Machine Learning Software, Network Model"
257,Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,/learn/human-language,4.7,Beginner,1 - 3 Months,2300,
258,Moral Foundations of Politics,Yale University,/learn/moral-politics,4.9,Mixed,1 - 3 Months,5500,Critical Thinking
259,Fundamentals of Machine Learning for Healthcare,Stanford University,/learn/fundamental-machine-learning-healthcare,4.8,Beginner,1 - 3 Months,344,Machine Learning
260,Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,/learn/sdgbusiness,4.8,Beginner,1 - 3 Months,1200,"Critical Thinking, Innovation, Leadership and Management, Problem Solving, Strategy, Business Transformation, Collaboration, Entrepreneurship, People Development, Decision Making"
261,Construction Project Management,Columbia University,/learn/construction-project-management,4.8,Beginner,1 - 3 Months,6300,"Project Management, Strategy and Operations, Leadership and Management, Operations Management, Change Management, Entrepreneurship, Planning, Supply Chain and Logistics"
262,Principles of Sustainable Finance,Erasmus University Rotterdam,/learn/sustainable-finance,4.7,Intermediate,1 - 3 Months,1500,"Finance, Risk Management, Critical Thinking, Financial Management, Leadership and Management, Strategy and Operations, Business Transformation, Decision Making, Financial Analysis, Strategy"
263,The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,/learn/human-needs,4.5,Beginner,1 - 3 Months,1600,Communication
264,Getting Started with Git and GitHub,IBM,/learn/getting-started-with-git-and-github,4.7,Beginner,1 - 4 Weeks,650,"Collaboration, Leadership and Management, Mergers & Acquisitions, Software Engineering, Software Engineering Tools"
265,Finding Your Professional Voice: Confidence & Impact,University of London,/learn/finding-your-professional-voice,4.8,Beginner,1 - 4 Weeks,217,Communication
266,Healing with the Arts,University of Florida,/learn/healing-with-the-arts,4.6,Mixed,1 - 3 Months,862,
267,"Sequences, Time Series and Prediction",DeepLearning.AI,/learn/tensorflow-sequences-time-series-and-prediction,4.7,Intermediate,1 - 4 Weeks,4900,"Machine Learning, Forecasting, Tensorflow, Applied Machine Learning, Deep Learning, Artificial Neural Networks, Human Learning, Data Visualization, Statistical Analysis, Statistical Machine Learning"
268,"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,/learn/information-systems-audit,4.7,Beginner,1 - 4 Weeks,3100,"Security Engineering, Strategy and Operations, Change Management, Audit, Leadership and Management, Risk Management"
269,Introduction to Python Programming,University of Pennsylvania,/learn/python-programming-intro,4.5,Beginner,1 - 4 Weeks,993,"Python Programming, Computer Programming, Programming Principles, Computational Logic, Computational Thinking, Computer Programming Tools, Critical Thinking, Problem Solving, Data Structures"
270,International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,/learn/arbitration-international-disputes,4.8,Mixed,1 - 3 Months,1100,
271,Wind Energy,Technical University of Denmark (DTU),/learn/wind-energy,4.7,Mixed,3 - 6 Months,7000,
272,Natural Language Processing with Attention Models,DeepLearning.AI,/learn/attention-models-in-nlp,4.4,Intermediate,1 - 4 Weeks,927,"Artificial Neural Networks, Deep Learning, Natural Language Processing, Machine Learning, Python Programming, Statistical Programming"
273,Business Model Innovation,HEC Paris,/learn/business-model,4.8,Mixed,1 - 3 Months,529,"Business Design, Entrepreneurship, Strategy, Strategy and Operations, Innovation, Leadership and Management, Marketing, Business Analysis, Research and Design, Sales"
274,Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,/learn/wharton-entrepreneurship-opportunity,4.8,Mixed,1 - 3 Months,4100,"Entrepreneurship, Planning, Strategy, Business Analysis, Business Design, Business Development, Critical Thinking, Innovation, Product Strategy, User Research"
275,Using Python to Interact with the Operating System,Google,/learn/python-operating-system,4.7,Beginner,1 - 3 Months,5800,"Computer Programming, Python Programming"
276,Dino 101: Dinosaur Paleobiology,University of Alberta,/learn/dino101,4.9,Beginner,1 - 3 Months,3300,
277,International Organizations Management,University of Geneva,/learn/international-organizations-management,4.8,Beginner,1 - 3 Months,1700,"Entrepreneurship, Leadership and Management, Business Psychology, Organizational Development, Collaboration, Communication, Marketing, Sales, Strategy, Strategy and Operations"
278,International Leadership and Organizational Behavior,Università Bocconi,/learn/organizational-behavior,4.8,Mixed,1 - 3 Months,3100,"Leadership and Management, Business Psychology, Culture, Human Resources, Communication, Entrepreneurship, Leadership Development, Organizational Development, Conflict Management"
279,Introduction to Spreadsheets and Models,University of Pennsylvania,/learn/wharton-introduction-spreadsheets-models,4.2,Mixed,1 - 4 Weeks,3700,"Data Analysis, Forecasting, General Statistics, Microsoft Excel, Spreadsheet Software, Statistical Analysis, Basic Descriptive Statistics, Business Analysis, Statistical Tests, Probability & Statistics, Computer Programming"
280,Fundamentos del marketing digital y comercio electrónico,Google,/learn/fundamentos-del-marketing-digital-y-comercio-electronico,4.9,Beginner,1 - 4 Weeks,457,"E-Commerce, Marketing"
281,AI Applications in Marketing and Finance,University of Pennsylvania,/learn/wharton-ai-applications-marketing-finance,4.7,Mixed,1 - 4 Weeks,140,"Business Analysis, Machine Learning, Customer Analysis, Finance, Financial Accounting, Marketing, Probability & Statistics, Statistical Machine Learning, User Experience"
282,Introduction to Programming with MATLAB,Vanderbilt University,/learn/matlab,4.8,Beginner,1 - 3 Months,17200,"Computer Programming, Matlab, Problem Solving, Programming Principles"
283,Version Control,Meta,/learn/introduction-to-version-control,4.6,Beginner,1 - 4 Weeks,2400,"Collaboration, Linux, Software Engineering, Software Engineering Tools, Web Development"
284,Assets in Accounting,Intuit,/learn/accounting-assets,4.4,Beginner,1 - 4 Weeks,820,"Accounting, General Accounting, Accounts Payable and Receivable, Cost Accounting, Finance, Financial Accounting, Financial Management, Inventory Management"
285,International Law In Action: Investigating and Prosecuting International Crimes,Universiteit Leiden,/learn/international-law-in-action-2,4.8,Mixed,1 - 3 Months,610,
286,Marine Biology,American Museum of Natural History,/learn/marine-biology,4.7,Beginner,1 - 3 Months,67,
287,Introduction to Clinical Data,Stanford University,/learn/introduction-clinical-data,4.6,Beginner,1 - 3 Months,245,"Data Analysis, Data Mining"
288,Introduction to Machine Learning,Duke University,/learn/machine-learning-duke,4.7,Intermediate,1 - 4 Weeks,3400,"Applied Machine Learning, Artificial Neural Networks, Deep Learning, Human Learning, Machine Learning, Algorithms, Machine Learning Algorithms, Network Model, Natural Language Processing, Probability & Statistics, Regression, Python Programming"
289,Introduction to Engineering Mechanics,Georgia Institute of Technology,/learn/engineering-mechanics-statics,4.8,Mixed,1 - 3 Months,4700,
290,Sales and CRM Overview,Salesforce,/learn/sales-and-crm-overview,4.5,Beginner,1 - 4 Weeks,804,"Customer Relationship Management, Sales, Databases, Sales Systems, Salesforce, B2B Sales, Customer Success, Leadership and Management, Marketing, Operations Management"
291,Troubles du spectre de l'autisme : diagnostic,University of Geneva,/learn/troubles-spectre-autisme-diagnostic,4.9,Intermediate,1 - 3 Months,694,
292,The Power of Statistics,Google,/learn/the-power-of-statistics,4.8,Advanced,1 - 3 Months,266,"General Statistics, Probability Distribution, Python Programming, Statistical Analysis"
293,Introduction to Corporate Finance,University of Pennsylvania,/learn/wharton-finance,4.6,Mixed,1 - 4 Weeks,5800,"Accounting, Budget Management, Finance, General Accounting, Business Analysis, Cost Accounting, Data Analysis, Estimation, Financial Accounting, Mathematical Theory & Analysis"
294,Improving Communication Skills,University of Pennsylvania,/learn/wharton-communication-skills,4.7,Beginner,1 - 4 Weeks,1900,"Communication, Negotiation"
295,Machine Learning Modeling Pipelines in Production,DeepLearning.AI,/learn/machine-learning-modeling-pipelines-in-production,4.3,Advanced,1 - 3 Months,373,"Cloud Computing, Google Cloud Platform, Machine Learning"
296,Introduction to DevOps,IBM,/learn/intro-to-devops,4.8,Beginner,1 - 3 Months,2000,"DevOps, Continuous Delivery, Continuous Integration, Software Engineering"
297,Accounting: Principles of Financial Accounting,IESE Business School,/learn/financial-accounting,4.8,Beginner,1 - 4 Weeks,2900,"Accounting, Financial Accounting, Finance"
298,Introduction to Computers and Operating Systems and Security,Microsoft,/learn/introduction-to-computers-and-operating-systems-and-security,4.8,Beginner,1 - 4 Weeks,390,"Cloud Computing, Computer Architecture, Operating Systems"
299,Computational Thinking for Problem Solving,University of Pennsylvania,/learn/computational-thinking-problem-solving,4.7,Beginner,1 - 4 Weeks,1300,"Computational Thinking, Computer Programming, Problem Solving, Algorithms, Computational Logic, Critical Thinking, Programming Principles, Python Programming, Theoretical Computer Science, Process Analysis"
300,Narrative Economics,Yale University,/learn/narrative-economics,4.8,Beginner,1 - 4 Weeks,324,Storytelling
301,Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,/learn/site-reliability-engineering-slos,4.5,Intermediate,1 - 3 Months,859,"DevOps, Software Engineering, Strategy and Operations, Decision Making, Leadership and Management, Operational Analysis, Performance Management, User Experience, Problem Solving, Operations Management"
302,Introduction to Web Development,"University of California, Davis",/learn/web-development,4.7,Beginner,1 - 3 Months,3600,"Computer Programming, Front-End Web Development, HTML and CSS, Javascript, Web Design, Web Development, Web Development Tools, Problem Solving, User Experience Design, Programming Principles"
303,American Contract Law I,Yale University,/learn/contracts-1,4.9,Beginner,1 - 3 Months,854,
304,From Excel to Power BI,Knowledge Accelerators,/learn/from-excel-to-power-bi,4.4,Beginner,1 - 4 Weeks,130,"Data Analysis, Data Model, Microsoft Excel, Power BI"
305,Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,/learn/finding-purpose-and-meaning-in-life,4.8,Beginner,1 - 4 Weeks,2200,
306,Linear Circuits 1: DC Analysis,Georgia Institute of Technology,/learn/linear-circuits-dcanalysis,4.5,Mixed,1 - 3 Months,1400,
307,Google Cloud Big Data and Machine Learning Fundamentals,Google Cloud,/learn/gcp-big-data-ml-fundamentals,4.7,Beginner,1 - 3 Months,15700,"Big Data, Cloud Computing, Cloud Platforms, Google Cloud Platform, Human Learning, Machine Learning"
308,Supply Chain Principles,Georgia Institute of Technology,/learn/supply-chain-principles,4.6,Mixed,1 - 3 Months,2000,"Leadership and Management, Supply Chain Systems, Supply Chain and Logistics, Operations Management, Strategy and Operations, Inventory Management, Planning, Transportation Operations Management, Material Handling, Procurement, Warehouse Management"
309,Professionalism in Allied Health,MedCerts,/learn/professionalism-allied-health,4.8,Beginner,1 - 3 Months,81,"Communication, Leadership and Management"
310,Dog Emotion and Cognition,Duke University,/learn/dog-emotion-and-cognition,4.7,Mixed,1 - 3 Months,4500,
311,Introduction to Good Clinical Practice,Novartis,/learn/good-clinical-practice-novartis,4.6,Beginner,1 - 4 Weeks,34,
312,Fondamentaux de la cybersécurité,Google,/learn/fondamentaux-de-la-cybersecurite,4.7,Beginner,1 - 4 Weeks,18,
313,Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,/learn/bioinformatics,4.2,Beginner,1 - 4 Weeks,1500,"Bioinformatics, Computational Thinking, Problem Solving, Biostatistics, Computational Logic, Critical Thinking"
314,Introduction to Deep Learning & Neural Networks with Keras,IBM,/learn/introduction-to-deep-learning-with-keras,4.7,Intermediate,1 - 3 Months,1400,"Algorithms, Artificial Neural Networks, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Network Model, Applied Machine Learning, Network Architecture, Python Programming, Regression"
315,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,/learn/addiction-treatment,4.8,Beginner,1 - 3 Months,1700,
316,Financing and Investing in Infrastructure,Università Bocconi,/learn/infrastructure-investing,4.8,Mixed,1 - 3 Months,1900,"Finance, Investment Management, Leadership and Management, Project Management, Financial Analysis, Financial Management, Risk Management, Strategy and Operations, Contract Management, Business Analysis"
317,AI and Climate Change,DeepLearning.AI,/learn/ai-and-climate-change,4.8,Beginner,1 - 4 Weeks,41,Computer Vision
318,Food & Beverage Management,Università Bocconi,/learn/food-beverage-management,4.8,Mixed,1 - 3 Months,4300,"Design and Product, Marketing, Business Analysis, Customer Analysis, Product Marketing, Product Strategy, Brand Management, Communication, Entrepreneurship, Leadership and Management, Strategy, Strategy and Operations"
319,What is Compliance?,University of Pennsylvania,/learn/what-is-compliance,4.8,Mixed,1 - 4 Weeks,1100,"Critical Thinking, Leadership and Management, Organizational Development, Regulations and Compliance, Risk Management, Strategy and Operations, Accounting, Audit, Business Process Management, Financial Accounting, Brand Management"
320,Fundamentos de la ciberseguridad,Google,/learn/fundamentos-de-la-ciberseguridad,4.9,Beginner,1 - 4 Weeks,653,"Python Programming, SQL, User Experience"
321,Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,/learn/financial-planning,4.6,Beginner,1 - 3 Months,1300,"Finance, Financial Management, Leadership and Management, Planning, Cash Management, Decision Making, Account Management, Budget Management, Financial Analysis, Risk Management"
322,Hands-on Introduction to Linux Commands and Shell Scripting,IBM,/learn/hands-on-introduction-to-linux-commands-and-shell-scripting,4.7,Beginner,1 - 4 Weeks,907,Linux
323,Chinese for Beginners,Peking University,/learn/learn-chinese,4.8,Mixed,1 - 3 Months,18700,Communication
324,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,/learn/crash-course-in-causality,4.7,Intermediate,1 - 3 Months,517,"General Statistics, Probability & Statistics, Statistical Tests, Data Analysis, Statistical Analysis, Experiment, Probability Distribution, R Programming, Regression, Statistical Programming"
325,Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,/learn/entrepreneurship-strategy,4.8,Beginner,1 - 4 Weeks,871,"Entrepreneurship, Leadership and Management, Strategy and Operations, Business Development, Strategy, Adaptability, Entrepreneurial Finance, Marketing, Organizational Development, People Development, Sales"
326,Foundations of Business Strategy,University of Virginia,/learn/uva-darden-foundations-business-strategy,4.8,Beginner,1 - 4 Weeks,2900,"Entrepreneurship, Leadership and Management, Marketing, Sales, Strategy, Strategy and Operations, Market Analysis"
327,"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,/learn/speak-english-professionally,4.7,Mixed,1 - 3 Months,9900,Communication
328,Creative Thinking: Techniques and Tools for Success,Imperial College London,/learn/creative-thinking-techniques-and-tools-for-success,4.7,Beginner,1 - 3 Months,4000,"Creativity, Problem Solving, Communication"
329,Visualizing the Living Body: Diagnostic Imaging,Yale University,/learn/diagnosticimaging,4.8,Intermediate,1 - 3 Months,171,
330,"Introduction to Financial Analysis - The ""Why?""",University of Illinois at Urbana-Champaign,/learn/introduction-to-financial-analysis-the-why,4.7,Beginner,1 - 4 Weeks,101,"Accounting, Finance, Financial Accounting, General Accounting, Leadership and Management, Accounts Payable and Receivable, Financial Analysis, Cost Accounting, Generally Accepted Accounting Principles (GAAP), Risk Management"
331,Building AI Powered Chatbots Without Programming,IBM,/learn/building-ai-powered-chatbots,4.8,Beginner,1 - 3 Months,2500,"Cloud Computing, Computer Programming, IBM Cloud, Machine Learning"
